order_id,order_date,user_id,customer_name,customer_email,customer_phone,shipping_address,sku,isbn,title,author,edition,language,category,tags,condition,price,quantity,total_price,currency,ai_metadata_filled,ai_confidence_score,auto_tags,sync_source,inventory_sync_id,payment_reference,payment_status,order_status,receipt_url
6924bed34e5a8f9b2d37aabc,2025-11-24T20:23:47.052Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100021181,watery tomatillo Vol. 2,Darryl Schamberger,,English,Finance,,like new,25.21,3,75.63,GBP,no,,,,,,paid,in_transit,
6924bed34e5a8f9b2d37aabc,2025-11-24T20:23:47.052Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100019630,zealous parsnip Vol. 1,Jo Baumbach,,English,Philosophy,,like new,12.48,2,24.96,GBP,no,,,,,,paid,in_transit,
6924bed34e5a8f9b2d37aabc,2025-11-24T20:23:47.052Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100008518,general cuckoo Vol. 1,Dwight Aufderhar,,English,Health & Wellness,,very good,38.18,2,76.36,GBP,no,,,,,,paid,in_transit,
6924bed54e5a8f9b2d37aac6,2025-11-24T20:23:49.716Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100009660,lonely makeover Vol. 3,Tracey Wiegand,,English,Textbooks,,very good,20.52,1,20.52,GBP,no,,,,,,paid,in_transit,
6924bed54e5a8f9b2d37aac6,2025-11-24T20:23:49.716Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100009376,yellowish cow Vol. 2,Jared Kris,,English,Graphic Novels,,acceptable,27.20,3,81.60,GBP,no,,,,,,paid,in_transit,
6924bed54e5a8f9b2d37aac6,2025-11-24T20:23:49.716Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100009370,brilliant skyline Vol. 1,Andrew Botsford,,English,African Literature,,good,39.99,2,79.98,GBP,no,,,,,,paid,in_transit,
6924bed84e5a8f9b2d37aad0,2025-11-24T20:23:52.228Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100012497,gentle fork Vol. 2,Emmett Jacobson,,English,Poetry,,acceptable,33.54,3,100.62,GBP,no,,,,,,paid,in_transit,
6924bed84e5a8f9b2d37aad0,2025-11-24T20:23:52.228Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100001536,lean saloon Vol. 2,Jamie Anderson,,English,Literary Fiction,,new,11.41,2,22.82,GBP,no,,,,,,paid,in_transit,
6924bed84e5a8f9b2d37aad0,2025-11-24T20:23:52.228Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100011779,distinct linseed Vol. 2,Geneva Ullrich-Dietrich,,English,Investing,,new,15.92,2,31.84,GBP,no,,,,,,paid,in_transit,
6924beda4e5a8f9b2d37aada,2025-11-24T20:23:54.789Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-3-100018285,buzzing government Vol. 5,Michele Bode DDS,,English,Self-Help,,new,41.42,2,82.84,GBP,no,,,,,,paid,in_transit,
6924beda4e5a8f9b2d37aada,2025-11-24T20:23:54.789Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,"{""fullName"":""John Test Doe"",""phoneNumber"":""07123456789"",""addressLine1"":""221B Baker Street"",""addressLine2"":"""",""city"":""London"",""state"":"""",""postalCode"":""NW1 6XE"",""country"":""GB""}",N/A,978-2-300000014,The Abandoned Bookshop,Deanna Kuhic-Hills,,English,Clearance,,new,16.34,1,16.34,GBP,yes,,,,,,paid,in_transit,
